Gene	Region1_Group1	Region1_Group2	Region1_Group3	Region1_Group4	Region1_Group5	Region1_Group6	Region1_Group7	Region1_Group8	Region1_Group9	Region2_Group1	Region2_Group2	Region2_Group3	Region2_Group4	Region2_Group5	Region2_Group6	Region2_Group7	Region2_Group8	Region2_Group9	Region3_Group1	Region3_Group2	Region3_Group3	Region3_Group4	Region3_Group5	Region3_Group6	Region3_Group7	Region3_Group8	Region3_Group9	Region4_Group1	Region4_Group2	Region4_Group3	Region4_Group4	Region4_Group5	Region4_Group6	Region4_Group7	Region4_Group8	Region4_Group9
Gene1	25.44011012	13.27320833	42.69926436	27.76005004	39.35210974	34.14547774	32.4662186	35.90598461	35.00593422	51.61294398	63.11031157	78.45098915	78.42217401	56.70156452	100	72.26864262	76.55763242	30.12854105	7.858687526	10.11332836	16.95575173	20.70284138	11.36411938	21.81478934	9.434508246	24.94893071	4.324652372	8.884189889	9.729390537	11.35001079	11.10613968	12.17464283	11.29011208	9.826220779	9.726340116	12.30890972
Gene2	21.79826386	11.76306392	20.98995186	12.17935099	12.97675615	9.610150761	5.703175424	7.315436238	9.843673364	100	55.82414311	37.00958926	18.81926784	11.3772314	16.74262818	10.76364268	10.6709258	2.99636526	14.71088445	12.37704542	5.65191376	4.749038993	4.466271204	4.423051869	3.06225945	3.272190369	1.798798041	24.07745671	4.759178036	1.912686738	2.198524326	1.558686738	1.392236901	1.26845569	0.949148707	2.715396926
Gene3	100	58.21575713	87.5858815	64.91560144	73.95303998	62.90926634	66.03986632	69.51623934	60.24519839	77.16564794	69.30620313	57.82224966	53.4448028	31.94937258	55.40743602	39.78079698	45.43184788	58.98561866	50.23491349	78.06362515	69.49745688	93.54421812	55.45629901	84.65782404	42.97596087	82.2344495	23.66935055	80.41115508	77.2912216	44.49430746	49.36818703	36.32675991	41.67201439	39.37538135	32.86726973	39.13492255
Gene4	55.01469181	34.6678728	76.18599581	67.57079808	76.27391689	65.28263262	59.85153274	73.14328776	67.02101022	18.4199401	27.77288164	46.38562242	56.87773622	35.09624137	66.8044802	46.48489753	49.54556054	29.66830788	15.76991726	39.8860391	91.44576255	85.84682265	71.53815637	89.40436841	63.37197856	100	28.81002204	11.27611497	18.49471207	20.25097203	21.25733434	23.82461894	23.56134884	18.22640248	17.33997118	20.67169838
Gene5	8.427979023	6.388073501	22.44520608	20.63415096	25.80397693	19.70986284	19.37861328	22.18890828	15.05146402	14.72249596	29.61041374	90.29919555	98.61786021	61.82364975	100	77.91090964	97.71372648	52.74647329	4.057096025	10.71200012	42.84002255	55.78829067	32.36021676	52.44335864	36.91042206	64.88370496	19.55482253	9.481482223	17.67043294	36.45598196	29.05043408	44.98460969	39.10165098	38.61243977	42.77442063	29.02389687
Gene6	100	77.54613401	81.73779329	45.56348897	71.84755764	42.53641232	61.68322141	52.05712934	39.69367545	18.60337132	33.04748992	42.8167179	36.6550913	25.69469052	37.757928	38.67623743	33.26410311	57.81375263	39.65624199	51.24362889	56.941133	87.78373504	47.5082219	69.71212332	56.91155267	76.25361622	42.11057009	21.41886176	30.12060063	39.83985705	27.86918769	38.34340427	34.69332106	36.06863885	26.86800366	51.63129767
Gene7	71.38069821	46.31827442	84.63751398	67.06551665	78.55944986	66.06986463	76.00563395	73.21782717	74.36976596	54.33002743	69.31560807	71.74228037	77.30252515	49.15312654	100	87.69008933	90.90877119	72.06654006	22.83019994	32.41073228	51.1691683	57.12967338	43.63422334	57.71138958	43.87130216	62.250665	22.5201644	34.48483747	41.08251478	37.90504641	32.69453434	40.20225491	37.86858891	39.84793033	38.1230432	37.02300526
Gene8	8.655485667	5.647602061	51.76613955	26.86661106	38.12020002	45.68662648	40.42407044	44.77320192	62.72733283	1.903949649	9.589224361	66.87342272	62.07850649	39.00483444	100	52.28799903	64.288972	22.37343793	1.450184483	4.26886502	56.36906193	28.18913484	24.91174454	32.15565516	18.43880628	42.55606789	10.41561212	7.073728753	9.852850216	24.12848201	21.43282794	24.24712236	32.5897422	27.29008447	25.1339752	24.51275473
Gene9	11.20020631	6.633713162	9.384927807	7.157510838	8.654787252	6.2195463	6.488843651	6.573003231	6.334487585	87.26447698	100	92.29655908	87.74386268	47.42751615	71.23143148	53.04092792	54.73581302	60.438448	3.49679829	7.501165806	9.567189168	11.03628888	7.684130445	10.63003493	6.681068339	9.977330572	2.955770384	6.741416309	5.317447432	4.705114267	5.869591796	5.001485336	5.123211225	4.923006822	4.976403428	3.626267485
Gene10	58.40487603	31.3354891	100	59.51980952	72.36607107	47.67996525	40.32676556	45.68605015	36.85004257	44.37962895	50.4649856	17.6872643	28.14928066	11.09166918	16.87849366	12.03238307	18.78553621	12.38030298	5.111968067	8.222097197	4.674815708	8.345125141	3.705006646	5.931554718	2.787502181	3.860637534	1.174754397	11.26207074	12.6246386	7.134890802	9.005705791	6.42486406	6.008587641	4.270147123	4.036564764	5.29255868
Gene11	69.8551864	43.21828779	100	73.43961174	91.50731733	74.29219852	70.74830301	79.94188977	74.74940173	29.19332826	44.81171648	50.68834213	41.61707581	40.66024897	49.68129329	52.08216555	46.6177516	33.67613049	16.21239547	36.77222333	55.29987975	60.66190741	48.53009215	64.28274574	42.46486382	64.66130205	17.94855834	24.07455316	39.20523386	40.34527601	43.84816819	41.00798297	45.00560747	36.44760754	39.63943895	33.0696699
Gene12	5.936345985	3.260728927	9.377889228	5.949263967	8.182271249	6.227001036	6.733543371	7.652182637	8.995563534	17.66063002	43.94277943	81.12833332	80.35955576	53.03629145	100	65.51105923	67.27458937	47.76673476	3.752401473	11.63009904	28.23440034	24.38471099	20.07888912	22.8533732	13.95403187	25.0591325	7.710218151	8.045533299	12.43445644	10.99852759	12.22532304	12.81828864	10.49862212	8.432735865	8.957791422	9.315133454
Gene13	47.92941558	28.56352183	70.5736305	100	85.06180097	75.33135749	95.66213452	96.46472447	68.65093295	11.23768938	14.06230558	17.18267738	25.56829692	23.70535587	49.35991954	37.05939721	44.09237147	24.84150805	6.488684163	9.809305252	14.32024043	23.34383178	22.73245733	30.91398773	20.96860127	35.6243109	10.22834935	14.89635946	17.25475478	23.19978957	23.23532495	46.22538992	50.51891526	47.23112816	44.22634162	42.11937008
Gene14	100	62.59902157	70.33433333	50.09984951	75.89849046	53.20688	61.58157304	56.95694309	58.55966923	76.75830993	76.22391905	64.90688281	87.45680525	46.14116984	87.49748201	73.99305321	88.6888025	70.46129386	28.11863247	22.50046341	25.5417448	33.13527436	17.91665674	27.61910249	19.34455751	34.97913071	11.52806794	24.41325134	30.71181446	29.012567	24.85957694	31.07693875	23.86990861	23.60750925	27.46625531	30.30665524
Gene15	45.18326766	29.07735743	94.86772648	84.55480249	85.50405625	78.09516227	100	97.3158103	83.54463496	11.31514375	13.70343637	18.5358788	28.02714041	16.70968111	42.13524309	39.35660361	36.65531469	62.94201781	12.65169646	12.51307126	31.66088837	37.93981789	29.00646022	45.26244096	40.75960563	44.31002483	19.00899282	11.52653435	28.70280391	38.35811944	36.0953702	42.98597685	53.20034588	54.18479742	44.39440512	38.62625477
Gene16	35.90026033	19.58403474	16.36634411	20.78772222	12.13943955	10.22155607	10.7163802	10.16788826	13.49333562	100	75.24524234	45.72784941	73.80861561	35.69924126	66.09892616	53.39918736	59.0938679	31.60993408	10.78214623	14.51061602	15.56392506	18.53323908	11.00639262	14.73756993	8.168223792	15.56224212	4.221130875	11.59915095	13.41365056	9.027894972	6.345266569	12.34731752	10.48693032	8.813105883	8.145977934	8.683557998
Gene17	16.19819326	10.06880825	13.35959096	10.28384154	11.88257305	9.193753352	8.652002566	9.294370307	9.434535944	58.76764856	53.02261246	65.26688635	39.32834716	25.81391459	36.91585825	22.9278615	25.44356966	16.72035856	34.14304902	74.98235065	86.92944399	100	57.75807559	90.51788515	47.82460481	82.84099293	18.50687594	32.29988099	42.89100932	25.15966338	18.37202448	24.65252881	22.74704599	20.50517725	16.10152543	18.60925431
Gene18	100	66.61315678	66.17709356	89.83638672	47.80395768	41.35229182	43.75297865	48.06454693	47.34275201	48.6284448	41.80276555	37.96074439	32.99343158	20.51711157	33.17537599	24.4712934	26.39737079	9.36396504	5.630814265	8.061251412	7.11775395	9.466772012	4.845945692	7.137309522	4.144530134	6.842807061	2.06357244	25.83758865	19.04469545	13.8995829	13.76306079	16.51055979	12.99380594	12.14389595	12.68626506	13.62807263
Gene19	86.13233714	88.89647205	41.16704859	75.56027455	30.27727126	24.58005072	53.41164329	40.20062634	23.96405993	53.86840371	84.97424323	33.00235802	48.85830306	37.00557938	41.96181577	69.67100141	58.81337099	89.56459546	36.57707448	42.82557935	41.94555628	70.87884095	54.29304458	67.31645178	70.29944934	100	15.20481896	37.48521557	47.00624597	49.68292207	52.10885991	48.04650107	58.7528225	71.01736919	82.70167692	49.63210583
Gene20	100	57.6891196	53.4847056	35.24052738	40.14942865	30.06612625	31.18147275	35.07202676	26.84544862	52.36097167	37.42723407	13.75630066	15.65170044	7.223751157	10.6695028	8.676361105	10.48032222	3.760734681	40.90760806	44.13641418	28.61999141	36.12387058	21.81683463	26.8868448	17.28932191	29.32852156	7.926903682	25.92941311	14.13403581	7.584534144	4.938338596	8.514880465	5.263868805	4.718128012	5.600376468	6.504252536
Gene21	99.86160322	63.72399973	100	90.61563965	76.15513705	58.82044198	66.11472474	66.37254382	52.95038528	41.18894535	40.52467199	48.90028203	52.98803421	31.18293425	56.75321893	42.49690007	48.07042486	26.57541603	20.18114649	39.88573885	54.63455155	61.48243734	37.96990182	49.56867376	35.61389712	47.79960334	18.39177869	38.20963998	64.905828	45.61706971	46.65768729	46.43562778	41.63691861	37.03678575	33.24825578	39.36234518
Gene22	41.32193116	25.41293017	56.75413099	36.48454721	45.31481856	35.94803788	43.55338605	45.20342104	40.37077484	72.14545433	78.22631162	100	84.22814765	70.87187395	98.59177747	76.67282677	84.23954783	45.20970336	33.64562586	65.93189447	85.54936253	75.88433982	57.06220678	69.76518474	60.30862421	89.19747415	21.56752316	26.06620035	26.00140522	29.33831654	23.37611855	35.06103679	26.34565731	27.75312794	27.8011852	31.98251902
Gene23	37.9622812	24.44658676	81.08442423	43.37373879	66.37213349	60.60904844	78.36985643	65.23706802	100	11.64543227	17.12629681	19.73485866	16.54486812	11.18592753	25.89118449	25.44705839	18.59260603	21.46397214	12.86408496	21.82035749	33.6478276	51.28573716	30.29972097	48.57848506	38.05150429	40.87902726	25.50622246	12.22890046	20.25645678	20.59973723	14.7100162	22.78079869	23.76918047	23.45074764	18.37141155	33.06940373
Gene24	21.9684029	11.40234172	55.40637054	39.10219934	72.21631613	60.28324103	45.9547148	38.18187068	44.96191584	42.47186042	47.36921994	36.05932525	97.68202768	49.13606598	87.93846725	59.53606823	64.83089081	100	2.792478931	6.525182819	14.8099046	19.11928306	11.38203695	19.62137909	8.902502718	21.66912187	3.962302068	6.038971266	9.439038827	8.737041217	11.33624357	8.933183265	9.674346557	6.996164923	5.827981625	7.18154297
Gene25	69.82694603	62.18727843	100	78.64256837	91.33092494	59.89369245	81.03214924	86.13935436	56.84427902	77.78650389	81.75508595	76.99329758	75.33419563	52.38375293	94.03065502	89.47354448	92.48122469	76.50232583	6.958927474	17.91679599	13.64262385	14.8677347	12.70844045	16.15572897	14.52279044	19.42538689	6.499122135	30.52420466	36.70745215	36.31653532	34.88113375	30.5187354	32.15869482	32.52518175	39.07941261	33.59227399
Gene26	46.20334206	28.82017355	100	59.5205511	84.28745729	61.71671582	61.59502698	72.11958754	68.37943376	9.934166717	12.3172295	26.53533681	24.08934737	17.91343726	27.08120659	18.77232925	20.9521124	8.350386186	7.851474591	13.34632235	32.49428842	32.22218411	27.44568945	30.66021392	22.41092905	34.19247527	10.451628	18.08685328	24.15458685	34.87974607	30.73169873	43.43018503	36.72327899	30.96422944	30.69858028	25.95328955
Gene27	76.90084855	43.68258561	84.18633031	45.52584803	66.29364615	49.09459704	51.41993297	53.13204137	49.84908497	86.79069171	100	67.95518838	67.91763182	34.9343478	54.52661601	42.31752754	44.16575261	19.9946758	20.62292563	41.54418325	33.76405007	34.68282609	23.24145388	28.20439918	19.63677097	29.827311	7.505438957	34.29649097	34.96375527	22.88693797	22.77876731	20.80724057	19.84838528	16.7831067	15.6516417	14.73307068
Gene28	54.93881612	25.70575762	100	55.19059839	80.79052301	57.31594378	65.46857577	67.79134884	41.38610581	15.65804746	23.91890152	21.02320593	20.59860161	13.73491152	23.36280421	15.58578738	17.24308764	10.43517012	15.08095143	36.03768053	31.64656019	39.92688081	17.14458009	32.26643147	13.05770939	49.71956822	2.617617662	43.99874756	28.84843914	29.16230313	27.11474237	31.52756531	27.59774202	23.16638015	20.96083381	26.12019599
Gene29	49.70142884	38.48587258	42.28818703	100	33.10039151	25.30746865	29.33931241	30.30444612	36.67412587	35.11980678	52.66777259	66.63207924	81.85381016	42.7542821	80.34596215	55.51581203	71.12246333	22.76919461	14.47929976	19.86496855	26.20335689	38.87680261	30.64477595	43.88895147	34.07875953	39.85775106	12.51215722	14.27850007	17.33321636	14.68108867	13.93694907	14.63158755	13.8030459	13.5772849	14.42969064	17.14182078
Gene30	95.40619935	63.01670408	63.33564088	62.48080265	68.30299911	57.68492297	68.89183572	66.91808135	60.04665684	43.56502782	72.73297878	92.87879892	92.13792949	55.27267021	100	71.54545811	68.27263098	52.00880973	31.36865546	58.23473334	92.73104655	94.26410754	69.43954932	80.78830976	61.87479844	81.93297248	27.89464222	16.22432933	19.41654172	22.41801982	21.87907604	24.63971717	28.0685097	24.06984072	21.25952006	22.66343204
Gene31	40.53675612	21.16894522	22.05339556	20.92082894	21.40506136	18.11110243	18.94338362	24.70498569	13.91347937	50.36093467	73.85184613	69.97934213	73.61838557	42.64166249	71.23855852	55.31875451	63.09391017	40.99714427	22.488188	43.28396948	63.31218057	100	71.33994784	97.07137943	72.98103222	85.77589825	34.81314973	41.85938598	52.40143034	56.4346223	61.72400288	52.84466683	51.87442394	60.54859267	41.60269462	35.81841655
Gene32	29.18313444	19.60706003	78.61855478	87.12910226	76.4946144	70.72581047	100	95.82612657	67.93191648	5.991226945	8.651559986	26.01065041	32.45348076	19.11539592	39.74077754	30.16204852	32.12431179	18.65300585	8.297948345	20.42005719	58.85309841	69.00165872	53.94259278	71.21040888	57.39227612	82.38687781	23.52221042	9.279977286	17.80305049	29.25865447	29.83517085	32.53725493	41.62215138	39.05882834	30.64512545	27.51165756
Gene33	21.93626577	14.94688915	33.94241642	36.57921403	32.15900033	28.21967845	36.56071925	37.78670584	33.93900554	10.79519955	15.86463664	20.79051688	24.63490497	13.49067424	34.68021494	25.79436729	28.12888595	12.17618888	10.73956174	28.20961321	62.39429713	66.03244067	52.40407003	67.99811135	53.8093034	70.70806476	24.41405756	23.56842665	53.69802174	54.7396081	79.73754723	92.44507946	100	78.81028938	76.66139994	74.37068568
Gene34	19.81347189	18.16625144	28.94413777	30.78823256	27.09750521	21.76445303	24.00181019	25.36767242	25.91698593	34.8795895	50.95293534	85.39335532	85.68117629	50.32123838	100	80.09292198	80.10154582	74.41519522	6.544186716	13.26580195	29.02230757	29.48846394	23.6974701	29.4243349	21.60894304	26.94834772	10.11463516	4.858644444	7.489737848	7.632352861	8.104772299	9.019004171	9.616633371	7.956300541	8.014427241	8.001725683
Gene35	60.46663804	37.97869906	100	81.73552819	93.27813066	85.78485337	92.67894058	91.08676632	84.97561368	16.3844193	19.79527763	28.65516335	26.57306825	15.36072254	32.87865374	26.2260524	25.23771611	9.670321472	14.33661183	24.02281317	51.32335612	45.78681851	37.386803	51.2729574	35.51741511	43.46644298	16.85326283	7.82743742	10.10285672	8.891449422	6.825142601	11.90594973	12.36172247	11.82087978	9.385100339	9.468890472
Gene36	97.3914107	60.85987177	100	91.58007538	72.86298002	47.43296417	45.72586643	55.89891737	47.4275017	39.26868427	37.30413798	43.32251203	37.09212722	46.5122984	41.15362898	24.39424375	33.3928647	19.65859981	12.03299087	29.96482333	39.08022185	42.75374492	33.9294252	43.4906248	27.12162948	48.0336581	11.68135741	9.211626842	11.70623629	11.33911671	26.34212305	6.707213521	10.43780375	8.300321765	6.39666229	6.198293236
Gene37	7.531754618	4.332951517	6.338984394	3.934162267	5.921982957	5.265307421	6.084266255	5.70590708	6.266712837	30.81278308	45.55460964	32.73516567	43.11864529	23.20690383	47.62605167	41.6156458	43.44681489	44.60977044	28.47281781	45.67631112	57.46315943	68.69656033	58.07214745	80.93880504	58.59929445	78.99869192	32.42090922	61.97553277	85.56036973	80.40732942	75.07781456	100	92.95093243	78.76536898	91.91371663	87.20041971
Gene38	40.3212742	25.74543607	34.47918802	28.80723601	28.52608579	21.32195042	21.16792692	21.25099632	24.34502724	100	72.29053843	50.19798894	49.53667254	26.87821252	45.19971678	35.92635285	36.8061748	36.24804077	4.569451033	5.127463671	5.908266843	5.239336138	5.341072142	5.485835696	3.515639809	4.256360592	2.300964832	10.99698693	6.669045187	4.3588772	4.117109042	5.105401945	3.694384002	3.239602799	3.02586283	5.518858236
Gene39	39.12019905	25.73702148	89.71966701	98.87068414	93.86567356	86.43412522	96.19503851	99.22190175	92.56716805	14.90044148	24.65931615	72.55383368	67.95206775	44.41053248	100	68.50842418	78.47328588	49.89481034	12.81743607	23.4572495	59.92492228	54.90914557	47.96732543	65.54983441	46.6099971	68.04428897	20.83161736	16.1778543	23.60720795	35.13182802	32.99800992	42.71428823	47.70899514	39.11561881	35.57886655	30.82352318
Gene40	46.28639358	27.90990725	29.52139177	36.13939353	24.49637552	20.48661427	22.39259735	23.57481469	19.15726048	100	73.64477971	90.34444797	84.83102692	54.43692878	82.22734896	57.39007883	71.06696122	37.5150539	13.21405933	15.61990558	16.12866218	21.34385989	11.69743232	17.59886542	12.11551784	19.89698942	5.764665199	29.1151582	23.94166166	17.97548724	18.24588524	16.54219055	18.91272121	18.40524018	21.98310754	19.49548545
Gene41	9.129718446	5.760378653	19.22340857	12.88826842	17.09854845	14.02031973	15.14465476	15.20384729	11.26199716	22.93772382	31.43689405	85.5630186	78.79727487	49.2287536	100	65.70652459	76.40763385	53.40282994	15.41347099	26.10415968	45.78045739	70.58761051	36.48747193	64.70369514	30.46722733	67.7077796	12.13569988	21.40396072	24.15319126	25.80380707	30.76303829	30.76364765	35.30398628	26.20140653	21.42016727	22.54234497
Gene42	67.47390111	36.31012448	28.91274731	23.58972192	13.67237837	7.963494857	8.817413669	9.564972335	5.235877312	100	65.64961117	19.97845361	18.13586607	6.950443311	12.38248551	5.965600079	7.750383872	3.734830848	6.939918983	8.532107656	6.251945604	4.19248926	6.879776631	3.799622519	6.253201241	2.457180673	1.898914871	14.01083696	7.94205977	1.79301591	1.231626635	0.905226395	0.688666164	0.552390684	0.595243179	0.50910582
Gene43	93.20942536	59.52273569	81.69649311	55.73290732	74.93707653	59.21486143	69.55315636	66.24342829	56.03362451	81.16490166	70.90922844	54.33901866	100	39.1294826	63.62440545	49.93133232	55.24625618	32.71997983	29.10985646	43.37810957	56.02616043	77.4235231	49.60418251	70.97404209	48.87890338	73.27308606	20.65980316	47.26340444	67.96800038	63.60402918	54.68894712	68.53841437	56.61389974	52.48120532	52.97822914	50.45428138
Gene44	0.73437646	0.491918855	4.271990869	1.825603365	8.462796766	15.80296605	45.03532848	18.5705305	9.938032778	0.221545277	0.422263267	1.342428275	3.194842615	5.467196263	4.220477389	15.96116088	9.109762627	3.915591505	0.232416377	0.486899028	9.574621735	11.68140651	13.30575282	50.89926636	56.67087761	100	14.85226933	1.128507003	1.169891646	12.8070773	6.342985542	17.32978537	17.56051544	26.74589588	30.04070079	16.70966462
Gene45	1.671965846	1.650490989	2.383210304	1.914280689	1.688288182	1.74334246	1.243709143	1.641940056	1.965976716	56.27277122	73.7704299	82.41835594	95.34062415	61.9156521	100	65.40769161	72.24660886	92.31412948	10.36353403	17.34654536	26.88344539	26.803339	23.24322776	25.27665917	13.48000279	27.10997685	9.278475319	7.285210977	7.627148432	6.560912175	7.629856688	6.608439166	5.873437739	5.154844722	4.819387382	9.036829942
Gene46	46.67077868	22.59874372	59.74193588	30.03570835	50.90381987	40.2962457	41.34502222	48.90498567	41.1395148	92.61218054	100	55.73513202	87.27160575	52.21477637	89.93349831	78.32015709	82.47122032	76.44810897	29.14815226	47.74304942	52.96551864	51.27616664	35.94284766	47.92193031	32.28797118	61.97644742	16.4720541	41.13154957	38.46354616	31.891957	23.96206335	30.71422072	27.44216184	26.84410059	30.85026363	32.84655879
Gene47	100	59.91714237	52.71922867	44.13771991	35.28147419	28.77580869	26.43652895	26.36580566	32.01821493	89.00926704	38.38619978	23.42305754	18.67378896	10.79536906	15.46492344	11.07067828	12.22936351	6.384639793	27.10760567	20.02600811	10.90445421	10.89918821	7.735108488	8.096555014	6.461991505	7.768332945	2.822964727	40.12418111	9.969655601	6.51449165	5.494474443	6.854706638	5.609870689	4.985264537	5.051222196	7.258653798
Gene48	4.099023604	2.389713436	7.029296244	5.089238049	7.158503457	4.373007496	3.605823705	3.706000356	5.502654875	36.91667075	44.91124405	83.96304287	100	47.7185799	77.87149185	55.9530231	61.75035551	27.7561745	3.366769473	7.725740549	18.57755778	13.35435443	11.8935304	12.41640498	9.028696647	14.59362134	3.521922336	7.182354995	8.064209058	9.000062898	11.02400886	8.534558329	6.617551588	5.258063842	5.38962777	7.332705559
Gene49	27.33652568	20.46972887	36.24593682	100	34.17022177	32.62660958	34.70368539	40.14476121	56.09224722	10.08462045	15.01278058	34.42210496	55.04923002	26.58436914	70.82868842	41.52975089	71.18472544	25.08242352	1.949204801	4.211383599	8.7951717	12.80389131	10.38521774	12.65022618	13.27773279	13.85381394	4.723933661	4.530717436	6.094618009	10.34463424	8.987055598	10.20772627	10.24590024	10.07088575	10.6529837	10.45725956
Gene50	29.08950436	16.84887277	14.68300413	21.04316907	12.54275274	10.10378614	11.78580222	10.49438527	11.85673048	44.53541352	55.36794207	78.21319833	90.91721615	57.44476121	100	80.78219131	80.89982858	67.4664316	9.649099654	16.04664848	16.19413158	23.86885179	16.52590909	20.79898008	18.04966794	23.28031479	10.26489804	4.934512204	5.996512451	6.980217165	7.427615707	4.733233008	5.044034196	4.886231427	4.7756145	5.383719467
Gene51	48.67314152	27.62464465	39.40105047	33.4515084	37.05896357	28.49701493	32.29094331	29.80706301	30.01497305	92.16879116	98.51924291	65.15202289	100	57.43922951	85.43054893	61.76099089	66.84641113	30.29937361	24.1131179	42.77801854	51.19137339	62.25720518	38.68366496	58.0823302	34.42167552	55.68924489	15.9879479	24.70461826	29.0262195	22.15955471	22.48108823	19.27700942	20.39689521	16.69889406	16.48667013	18.8942693
Gene52	37.02034058	25.02914427	39.07196338	26.72727856	30.17380383	25.3077847	36.46440268	29.46616223	28.78519028	100	69.5473486	84.85715399	46.14616101	47.86811351	53.99264707	35.88934591	41.01852611	16.41167009	25.88627153	43.8155052	40.81280509	42.97411619	26.36981701	34.36864648	21.30346367	34.41931063	10.24209265	49.24781346	22.96536614	17.31111296	18.83092528	18.00189133	20.09671374	18.98257353	16.9788269	21.88616375
