Gene	Pathway1	Pathway2	Pathway3	Pathway4	Pathway5	Pathway6	Pathway7	Pathway8	Pathway9	Pathway10	Pathway11	logFC
Gene1	1	0	0	0	0	0	0	0	0	0	0	5.176837291
Gene2	1	0	0	0	0	0	0	0	0	0	0	2.752891121
Gene3	1	0	0	0	0	0	0	0	0	0	0	6.972824558
Gene4	1	0	0	0	0	0	0	0	0	0	0	2.347777907
Gene5	1	0	0	0	0	0	0	0	0	0	0	2.139630666
Gene6	1	0	0	0	0	0	0	0	0	0	0	-3.264342609
Gene7	1	0	0	0	0	0	0	0	0	0	0	-1.724618545
Gene8	0	1	0	0	0	0	0	0	0	0	0	2.675736855
Gene9	0	1	0	0	0	0	0	0	0	0	0	1.432754023
Gene10	0	1	0	0	0	0	0	0	0	0	0	-0.638835134
Gene11	0	1	0	0	0	0	0	0	0	0	0	-2.445721246
Gene12	0	1	0	0	0	0	0	0	0	0	0	-3.175734158
Gene13	0	1	0	0	0	0	0	0	0	0	0	-1.309754372
Gene14	0	1	0	0	0	0	0	0	0	0	0	-0.840471891
Gene15	0	0	0	1	0	0	0	0	0	0	0	5.867859201
Gene16	0	0	0	1	0	0	0	0	0	0	0	1.768339875
Gene17	0	0	0	1	0	0	0	0	0	0	0	-3.065454238
Gene18	0	0	0	1	0	0	0	0	0	0	0	-1.891863848
Gene19	0	0	0	1	0	0	0	0	0	0	0	-1.885249347
Gene20	0	0	1	0	0	0	0	0	0	0	0	3.479896758
Gene21	0	0	1	0	0	0	0	0	0	0	0	0.81948517
Gene22	0	0	1	0	0	0	0	0	0	0	0	4.064395892
Gene23	0	0	1	0	0	0	0	0	0	0	0	-3.222099424
Gene24	0	0	1	0	0	0	0	0	0	0	0	-0.671058023
Gene25	0	0	1	0	0	0	0	0	0	0	0	-1.021237022
Gene26	0	0	1	0	0	0	0	0	0	0	0	0.281475574
Gene27	0	0	0	0	1	0	0	0	0	0	0	4.163882917
Gene28	0	0	0	0	1	0	0	0	0	0	0	1.482460523
Gene29	0	0	0	0	1	0	0	0	0	0	0	3.665369107
Gene30	0	0	0	0	1	0	0	0	0	0	0	2.925804078
Gene31	0	0	0	0	1	0	0	0	0	0	0	-2.695548363
Gene32	0	0	0	0	1	0	0	0	0	0	0	2.930858693
Gene33	0	0	0	0	1	0	0	0	0	0	0	-2.515227145
Gene34	0	0	0	0	0	1	0	0	0	0	0	0.252586748
Gene35	0	0	0	0	0	1	0	0	0	0	0	2.201361747
Gene36	0	0	0	0	0	1	0	0	0	0	0	4.095589398
Gene37	0	0	0	0	0	1	0	0	0	0	0	1.944159186
Gene38	0	0	0	0	0	1	0	0	0	0	0	-0.776693587
Gene39	0	0	0	0	0	1	0	0	0	0	0	-1.384551024
Gene40	0	0	0	0	0	1	0	0	0	0	0	-3.775274577
Gene41	0	0	0	0	0	0	1	0	0	0	0	-2.889762197
Gene42	0	0	0	0	0	0	1	0	0	0	0	-1.584885618
Gene43	0	0	0	0	0	0	1	0	0	0	0	-1.495271923
Gene44	0	0	0	0	0	0	1	0	0	0	0	3.310747405
Gene45	0	0	0	0	0	0	1	0	0	0	0	1.465664195
Gene46	0	0	0	0	0	0	1	0	0	0	0	3.170591477
Gene47	0	0	0	0	0	0	1	0	0	0	0	-0.232005488
Gene48	0	0	0	0	0	0	0	1	0	0	0	-2.49183413
Gene49	0	0	0	0	0	0	0	1	0	0	0	-1.102090527
Gene50	0	0	0	0	0	0	0	1	0	0	0	-2.225234155
Gene51	0	0	0	0	0	0	0	1	0	0	0	-2.634925137
Gene52	0	0	0	0	0	0	0	1	0	0	0	-1.858317939
Gene53	0	0	0	0	0	0	0	1	0	0	0	-1.134592372
Gene54	0	0	0	0	0	0	0	1	0	0	0	-0.00648021
Gene55	0	0	0	0	0	0	0	1	0	0	0	-2.511904288
Gene56	0	0	0	0	0	0	0	0	1	0	0	-3.626458787
Gene57	0	0	0	0	0	0	0	0	1	0	0	-5.779395851
Gene58	0	0	0	0	0	0	0	0	1	0	0	-3.684877419
Gene59	0	0	0	0	0	0	0	0	1	0	0	-1.672230462
Gene60	0	0	0	0	0	0	0	0	1	0	0	3.102486521
Gene61	0	0	0	0	0	0	0	0	1	0	0	-0.153739384
Gene62	0	0	0	0	0	0	0	0	1	0	0	-1.646962986
Gene63	0	0	0	0	0	0	0	0	0	1	0	-1.95482549
Gene64	0	0	0	0	0	0	0	0	0	1	0	-0.786544197
Gene65	0	0	0	0	0	0	0	0	0	1	0	-4.536574055
Gene66	0	0	0	0	0	0	0	0	0	1	0	-2.590342556
Gene67	0	0	0	0	0	0	0	0	0	1	0	-0.725931028
Gene68	0	0	0	0	0	0	0	0	0	1	0	-0.765822519
Gene69	0	0	0	0	0	0	0	0	0	1	0	1.637033752
Gene70	0	0	0	0	0	0	0	0	0	1	0	-0.40278318
Gene71	0	0	0	0	0	0	0	0	0	0	1	-0.868047033
Gene72	0	0	0	0	0	0	0	0	0	0	1	0.150567505
Gene73	0	0	0	0	0	0	0	0	0	0	1	0.246661902
Gene74	0	0	0	0	0	0	0	0	0	0	1	-1.868471055
Gene75	0	0	0	0	0	0	0	0	0	0	1	-1.35518014
Gene76	0	0	0	0	0	0	0	0	0	0	1	-1.438418147
Gene77	0	0	0	0	0	0	0	0	0	0	1	-0.984965353
